type,unCode,tpCode,name,Country,provinceISOCode,provinceName,,latitude,longitude,zoomLevel,phoneCode,timeZoneCode,timeOffset,description,isEXODestination,tpServer
city, ATH,ANG,Ang Thong ,THA,ATG,Ang Thong ,,14.5882714,100.4517799,12,35,ICT,+7,,true,
city, ARA ,ARA,Aranyaprathet ,THA,SKW,Sa Kaeo,,13.6877732,102.5037221,12,37,ICT,+7,,true,
city, AYU ,AYU,Ayutthaya ,THA,AYA,Phra Nakhon Si Ayutthaya,,14.3339354,100.6087763,12,35,ICT,+7,,true,
city, BKK ,BKK,Bangkok ,THA,BKK,Bangkok ,,13.7262228,100.5115567,12,2,ICT,+7,,true,
city, BFV ,BFV,Buri Ram,THA,BRM,Buri Ram,,14.9979656,103.087799,12,44,ICT,+7,,true,
city,,CHM,Cha-am,THA,PBI,Phetchaburi,,12.799722,99.966944,12,32,ICT,+7,,true,
city, CSD ,CCS,Chachoengsao ,THA,CCO,Chachoengsao ,,13.6845937,101.0640063,12,38,ICT,+7,,true,
city, CYM ,CHP,Chaiyaphum ,THA,CPM,Chaiyaphum ,,15.8078511,102.0311517,12,55,ICT,+7,,true,
city, CHA ,CHT,Chanthaburi ,THA,CTI,Chanthaburi ,,12.6104079,102.1006586,12,39,ICT,+7,,true,
city, CNX ,CNX,Chiang Mai,THA,CMI,Chiang Mai,,18.8395523,98.9692671,12,53,ICT,+7,,true,
city, CEI ,CEI,Chiang Rai ,THA,CRI,Chiang Rai ,,19.9316594,99.8089312,12,54,ICT,+7,,true,
city, CHB ,CHB,Chonburi ,THA,CBI,Chonburi ,,13.3619271,100.9812614,12,38,ICT,+7,,true,
city, CHU ,CHU,Chumphon ,THA,CPN,Chumphon ,,10.5213446,99.1900906,12,77,ICT,+7,,true,
city, HDY ,HDY,Hat Yai ,THA,SKA,Songkhla ,,6.9776646,100.4424659,12,74,ICT,+7,,true,
city, HHQ ,HHQ,Hua Hin,THA,PBI,Phetchaburi,,12.5691445,99.9567498,12,32,ICT,+7,,true,
city, KLN ,KSN,Kalasin ,THA,KSN,Kalasin ,,16.4328157,103.5045683,12,43,ICT,+7,,true,
city, KPT ,KAM,Kamphaeng Phet ,THA,KPT,Kamphaeng Phet ,,16.5209954,99.4990149,12,55,ICT,+7,,true,
city, KCB ,KAN,Kanchanaburi ,THA,KRI,Kanchanaburi ,,14.0224945,99.5348512,12,34,ICT,+7,,true,
city,,KLK,Khao Lak,THA,PNA,Phang Nga,,8.6739012,98.2347369,12,76,ICT,+7,,true,
city,,KSK,Khao Sok,THA,SNI,Surat Thani,,8.9115587,98.5248136,12,77,ICT,+7,,true,
city,,KHY,Khao Yai,THA,NYK,Nakhon Nayok,,14.4205666,101.3855496,12,37,ICT,+7,,true,
city, KKC ,KKC,Khon Kaen ,THA,KKN,Khon Kaen ,,16.4427013,102.8334602,12,43,ICT,+7,,true,
city,,CHA,Koh Chang,THA,TRT,Trat,,12.0544418,102.2079416,12,39,ICT,+7,,true,
city,,KJU,Koh Jum,THA,KBI,Krabi,,7.8083801,98.9584691,12,75,ICT,+7,,true,
city,,KKD,Koh Kradan,THA,KBI,Krabi,,7.3770783,99.2451253,12,75,ICT,+7,,true,
city,,KKO,Koh Kut,THA,TRT,Trat,,11.6590816,102.5456442,12,39,ICT,+7,,true,
city, KLA ,LAN,Koh Lanta ,THA,KBI,Krabi,,7.6299512,99.031247,12,75,ICT,+7,,true,
city,,LIB,Koh Libong,THA,TRG,Trang ,,7.2383367,99.3392088,12,75,ICT,+7,,true,
city,,KLP,Koh Lipe,THA,STN,Satun ,,6.4877044,99.2799415,12,74,ICT,+7,,true,
city,,KMA,Koh Mak,THA,TRT,Trat,,11.812832,102.451626,12,39,ICT,+7,,true,
city,,KMK,Koh Mook,THA,TRG,Trang ,,7.3222024,99.286888,12,75,ICT,+7,,true,
city,,KNG,Koh Ngai,THA,TRG,Trang ,,7.4168425,99.1981174,12,75,ICT,+7,,true,
city,,PHA,Koh Phangan,THA,SNI,Surat Thani,,9.7349625,99.951166,12,77,ICT,+7,,true,
city,,PPI,Koh Phi Phi,THA,KBI,Krabi,,7.7526517,98.7565936,12,75,ICT,+7,,true,
city,,SAM,Koh Samed,THA,RYG,Rayong ,,12.552339,101.4385076,12,38,ICT,+7,,true,
city, KSM ,USM,Koh Samui ,THA,SNI,Surat Thani,,9.50108,99.9313735,12,77,ICT,+7,,true,
city,,TAO,Koh Tao,THA,SNI,Surat Thani,,10.0922781,99.8178947,12,77,ICT,+7,,true,
city,,KYN,Koh Yao Noi,THA,PNA,Phang Nga,,8.1006725,98.5761379,12,76,ICT,+7,,true,
city,,KYY,Koh Yao Yai,THA,PNA,Phang Nga,,8.1006725,98.5761379,12,76,ICT,+7,,true,
city,,NKR,Korat,THA,NMA,Nakhon Ratchasima,,14.9708314,102.072177,12,44,ICT,+7,,true,
city, KBV ,KBV,Krabi ,THA,KBI,Krabi,,8.058966,98.9150383,12,75,ICT,+7,,true,
city, LPT ,LPT,Lampang,THA,LPG,Lampang,,18.2579216,99.5423258,12,54,ICT,+7,,true,
city, LPN ,LPN,Lamphun ,THA,LPN,Lamphun ,,18.5791762,99.0042759,12,53,ICT,+7,,true,
city, LOE ,LOE,Loei,THA,LEI,Loei,,17.4931934,101.6994811,12,42,ICT,+7,,true,
city,,LOP,Lopburi,THA,LRI,Lopburi,,14.8007852,100.6023483,12,36,ICT,+7,,true,
city, HGN ,HGN,Mae Hong Son,THA,MSN,Mae Hong Son,,18.7231028,97.4346762,12,53,ICT,+7,,true,
city, MAQ ,MSO,Mae Sot,THA,TAK,Tak,,16.7158763,98.539219,12,55,ICT,+7,,true,
city, MDH ,MDH,Mukdahan ,THA,MDH,Mukdahan ,,16.5457154,104.7238129,12,42,ICT,+7,,true,
city, NNK ,NAK,Nakhon Nayok ,THA,NYK,Nakhon Nayok,,14.2123954,101.1183507,12,37,ICT,+7,,true,
city, NPM ,NPT,Nakhon Pathom ,THA,NPT,Nakhon Pathom ,,13.7803825,100.053704,12,34,ICT,+7,,true,
city, KOP ,KOP,Nakhon Phanom,THA,NPM,Nakhon Phanom,,17.4011909,104.7664552,12,42,ICT,+7,,true,
city, NAK ,NKR,Nakhon Ratchasima,THA,NMA,Nakhon Ratchasima,,14.972984,102.0970792,12,44,ICT,+7,,true,
city, NSA ,NKS,Nakhon Sawan ,THA,NSN,Nakhon Sawan ,,15.6906134,100.1118534,12,56,ICT,+7,,true,
city, NST ,NST,Nakhon Si Thammarat ,THA,NRT,Nakhon Si Thammarat ,,8.4071561,99.9584835,12,75,ICT,+7,,true,
city,,NAN,Nan,THA,NAN,Nan,,18.7762192,100.7716377,12,53,ICT,+7,,true,
city, NAW ,NAW,Narathiwat,THA,NWT,Narathiwat,,6.4193337,101.7961471,12,73,ICT,+7,,true,
city, QJX ,NKI,Nong Khai ,THA,NKI,Nong Khai ,,17.8566985,102.7293654,12,44,ICT,+7,,true,
city, NTB ,NON,Nonthaburi ,THA,NBI,Nonthaburi ,,13.8625051,100.5122947,12,2,ICT,+7,,true,
city, PAI ,PAI,Pai ,THA,MSN,Mae Hong Son ,,19.361498,98.4349397,12,53,ICT,+7,,true,
city,,PTM,Pathum Thani,THA,PTE,Pathum Thani,,14.0206095,100.5210605,12,2,ICT,+7,,true,
city, PYX ,PTY,Pattaya ,THA,CBI,Chonburi ,,12.9265757,100.8776661,12,38,ICT,+7,,true,
city, PHA ,PGA,Phang Nga ,THA,PNA,Phang Nga ,,8.4398037,98.5162173,12,76,ICT,+7,,true,
city, PYO ,PYO,Phayao ,THA,PYO,Phayao ,,19.1915477,99.8777354,12,54,ICT,+7,,true,
city, PCN ,PHE,Phetchabun ,THA,PNB,Phetchabun ,,16.4287818,101.1468869,12,56,ICT,+7,,true,
city,,PCB,Phetchaburi,THA,PBI,Phetchaburi,,13.108222,99.9401638,12,32,ICT,+7,,true,
city, PHS ,PHS,Phitsanulok,THA,PLK,Phitsanulok,,16.8261722,100.2578157,12,55,ICT,+7,,true,
city, PRH ,PHR,Phrae,THA,PRE,Phrae,,18.1452808,100.138337,12,54,ICT,+7,,true,
